Date,ret_initial
2018-08-30,-0.001006577270068143
2018-08-31,-0.001488274839887529
2018-09-04,-0.004886269514234758
2018-09-05,-0.005553209767870369
2018-09-06,-0.007348623611336911
2018-09-07,-0.0006279552695623292
2018-09-10,0.0054559196276518064
2018-09-11,0.0032201245471845533
2018-09-12,0.0007680668734457777
2018-09-13,0.00848486325958276
2018-09-14,0.001593207078604904
2018-09-17,-0.005383431060889806
2018-09-18,-0.00017325003399132994
2018-09-19,0.005436932452678912
2018-09-20,0.008430238941616795
2018-09-21,-0.0012525684274594657
2018-09-24,0.001751821300597793
2018-09-25,0.00029782231890863734
2018-09-26,-0.001507332930002177
2018-09-27,0.004035811423587289
2018-09-28,-0.006380356137970191
2018-10-01,0.016055156552709
2018-10-02,-0.004114142655245105
2018-10-03,-0.00017392297281397593
